director,actor2,genres,actor1,title,actor3,comb
James Cameron,Joel David Moore,Action Adventure Fantasy Sci-Fi,CCH Pounder,avatar,Wes Studi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: at world's end,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
Sam Mendes,Rory Kinnear,Action Adventure Thriller,Christoph Waltz,spectre,Stephanie Sigman,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller
Christopher Nolan,Christian Bale,Action Thriller,Tom Hardy,the dark knight rises,Joseph Gordon-Levitt,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller
Andrew Stanton,Samantha Morton,Action Adventure Sci-Fi,Daryl Sabara,john carter,Polly Walker,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi
Nathan Greno,Donna Murphy,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,tangled,M.C. Gainey,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,avengers: age of ultron,Scarlett Johansson,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Alan Rickman,harry potter and the half-blood prince,Rupert Grint,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
Zack Snyder,Lauren Cohan,Action Adventure Sci-Fi,Henry Cavill,batman v superman: dawn of justice,Alan D. Purwin,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi
Bryan Singer,Marlon Brando,Action Adventure Sci-Fi,Kevin Spacey,superman returns,Frank Langella,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
Marc Forster,Mathieu Amalric,Action Adventure,Giancarlo Giannini,quantum of solace,Rory Kinnear,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: dead man's chest,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
